"customerid","tenure","monthlycharges","ltv"
"3774-VBNXY",64,"20.2","1292.8"
"6217-KDYWC",57,"19.6","1117.2"
"0390-DCFDQ",1,"70.45","70.45"
"3146-MSEGF",72,"88.05","6339.60"
"4080-OGPJL",8,"71.15","569.20"
"1095-WGNGG",61,"101.05","6164.05"
"2636-SJDOU",64,"84.3","5395.2"
"1131-QQZEB",71,"23.95","1700.45"
"5716-EZXZN",65,"99.05","6438.25"
"6837-BJYDQ",3,"19.6","58.8"
"2135-RXIHG",1,"45.65","45.65"
"6440-DKQGE",30,"64.5","1935.0"
"3466-BYAVD",15,"69.5","1042.5"
"3780-YVMFA",8,"68.55","548.40"
"3874-EQOEP",7,"95","665"
"1679-JRFBR",70,"108.15","7570.50"
"9073-ZZIAY",62,"86.1","5338.2"
"3077-RSNTJ",6,"19.7","118.2"
"6551-GNYDG",14,"80.9","1132.6"
"9167-APMXZ",22,"84.15","1851.30"
"2749-CTKAJ",22,"20.15","443.30"
"6371-NZYEG",16,"64.25","1028.00"
"7554-NEWDD",10,"25.7","257.0"
"8992-VONJD",13,"56","728"
"0867-MKZVY",20,"82.4","1648.0"
"4482-EWFMI",2,"69.7","139.4"
"4648-YPBTM",53,"73.9","3916.7"
"2907-ILJBN",11,"20.6","226.6"
"6345-FZOQH",69,"19.9","1373.1"
"3376-BMGFE",4,"70.9","283.6"
"5997-OPVFA",72,"89.05","6411.60"
"3445-HXXGF",58,"45.3","2627.4"
"1159-WFSGR",16,"20.4","326.4"
"7654-YWJUF",43,"84.25","3622.75"
"1875-QIVME",2,"104.4","208.8"
"6727-IOTLZ",14,"81.95","1147.30"
"0691-JVSYA",53,"94.85","5027.05"
"5918-VUKWP",32,"20.55","657.60"
"1744-JHKYS",34,"24.7","839.8"
"2656-FMOKZ",15,"74.45","1116.75"
"2070-FNEXE",7,"76.45","535.15"
"5947-SGKCL",15,"105.35","1580.25"
"3712-PKXZA",61,"20.55","1253.55"
"6317-YPKDH",1,"29.95","29.95"
"6582-OIVSP",1,"45.3","45.3"
"9367-WXLCH",8,"84.5","676.0"
"5524-KHNJP",33,"74.75","2466.75"
"1918-ZBFQJ",13,"79.25","1030.25"
"1024-GUALD",1,"24.8","24.8"
"4827-USJHP",20,"51.8","1036.0"
"8167-GJLRN",3,"30.4","91.2"
"0956-SYCWG",13,"19.65","255.45"
"8017-UVSZU",40,"56.6","2264.0"
"7100-FQPRV",43,"71.9","3091.7"
"2472-OVKUP",6,"91","546"
"2984-RGEYA",69,"19.75","1362.75"
"9680-NIAUV",72,"109.7","7898.4"
"2146-EGVDT",59,"19.3","1138.7"
"2604-IJPDU",20,"96.55","1931.00"
"9178-JHUVJ",24,"24.1","578.4"
"6168-YBYNP",59,"111.35","6569.65"
"7255-SSFBC",72,"112.25","8082.00"
"3645-DEYGF",1,"20.75","20.75"
"9323-HGFWY",27,"101.9","2751.3"
"8544-GOQSH",14,"80.05","1120.70"
"3363-DTIVD",71,"105.55","7494.05"
"7018-WBJNK",13,"78.3","1017.9"
"9142-KZXOP",44,"68.85","3029.40"
"7674-YTAFD",33,"79.95","2638.35"
"6348-SNFUS",72,"55.45","3992.40"
"1285-OKIPP",1,"79.9","79.9"
"7825-ECJRF",19,"106.6","2025.4"
"1347-KTTTA",64,"102.45","6556.80"
"7841-TZDMQ",2,"46","92"
"4195-NZGTA",1,"25.25","25.25"
"7157-SMCFK",61,"19.75","1204.75"
"4709-LKHYG",29,"20","580"
"2504-DSHIH",23,"86.8","1996.4"
"0699-NDKJM",57,"58.75","3348.75"
"9286-BHDQG",72,"45.25","3258.00"
"0230-WEQUW",66,"56.6","3735.6"
"2040-LDIWQ",65,"84.2","5473.0"
"6496-JDSSB",8,"80","640"
"9408-SSNVZ",4,"70.15","280.60"
"4443-EMBNA",71,"24.75","1757.25"
"6469-MRVET",1,"20.2","20.2"
"0742-MOABM",4,"50.05","200.20"
"5961-VUSRV",12,"19.35","232.20"
"6778-JFCMK",24,"50.6","1214.4"
"6341-JVQGF",31,"81.15","2515.65"
"2232-DMLXU",1,"55.2","55.2"
"4811-JBUVU",30,"89.9","2697.0"
"0945-TSONX",47,"85.3","4009.1"
"2651-ZCBXV",54,"108","5832"
"3316-UWXUY",50,"93.5","4675.0"
"8937-RDTHP",1,"84.6","84.6"
"7083-MIOPC",72,"20.25","1458.00"
"1984-GPTEH",29,"25.15","729.35"
"1251-KRREG",2,"54.4","108.8"
"0621-JFHOL",10,"29.6","296.0"
"9903-LYSAB",18,"73.15","1316.70"
"0094-OIFMO",11,"95","1045"
"9227-UAQFT",16,"19.75","316.00"
"7301-ABVAD",72,"86.6","6235.2"
"6614-FHDBO",72,"109.2","7862.4"
"7576-ASEJU",41,"74.7","3062.7"
"9058-HRZSV",65,"94.4","6136.0"
"4522-AKYLR",13,"54.8","712.4"
"0221-WMXNQ",4,"75.35","301.40"
"0303-UNCIP",41,"65","2665"
"9947-OTFQU",15,"74.4","1116.0"
"0322-YINQP",1,"48.55","48.55"
"0959-WHOKV",42,"99","4158"
"4075-JFPGR",51,"93.5","4768.5"
"4629-NRXKX",2,"70.4","140.8"
"9514-JDSKI",1,"40.2","40.2"
"3282-ZISZV",32,"83.7","2678.4"
"3675-YDUPJ",10,"19.85","198.50"
"4111-BNXIF",67,"59.55","3989.85"
"7017-VFHAY",61,"115.1","7021.1"
"6655-LHBYW",50,"114.35","5717.50"
"4959-JOSRX",2,"44.6","89.2"
"5046-NUHWD",29,"45","1305"
"7273-TEFQD",3,"41.15","123.45"
"3606-TWKGI",13,"106.9","1389.7"
"7529-ZDFXI",57,"89.85","5121.45"
"7605-BDWDC",31,"49.85","1545.35"
"1950-KSVVJ",45,"113.3","5098.5"
"0123-CRBRT",61,"88.1","5374.1"
"6292-TOSSS",50,"24.9","1245.0"
"3197-ARFOY",19,"105","1995"
"6323-AYBRX",59,"19.35","1141.65"
"7014-ZZXAW",71,"24.25","1721.75"
"4385-GZQXV",16,"94.45","1511.20"
"7633-MVPUY",57,"59.75","3405.75"
"6366-ZGQGL",1,"24.8","24.8"
"4716-HHKQH",20,"107.05","2141.00"
"5940-AHUHD",1,"70.6","70.6"
"6432-TWQLB",5,"85.4","427.0"
"4484-GLZOU",52,"105.05","5462.60"
"3179-GBRWV",21,"64.95","1363.95"
"8645-KWHJO",14,"55","770"
"4130-MZLCC",5,"50.55","252.75"
"0314-TKOSI",6,"55.15","330.90"
"8229-MYEJZ",10,"51.2","512.0"
"2080-SRCDE",1,"25.4","25.4"
"9577-WJVCQ",68,"54.45","3702.60"
"9512-UIBFX",18,"95.15","1712.70"
"6202-DYYFX",22,"76","1672"
"3808-HFKDE",20,"44.35","887.00"
"5583-SXDAG",1,"70","70"
"3488-PGMQJ",8,"74.5","596.0"
"3580-REOAC",10,"44.85","448.50"
"7534-BFESC",24,"76.1","1826.4"
"3727-OWVYD",35,"61.2","2142.0"
"2294-SALNE",23,"86.8","1996.4"
"4847-TAJYI",6,"89.35","536.10"
"1563-IWQEX",12,"19.7","236.4"
"8203-XJZRC",1,"20.25","20.25"
"6556-DBKZF",71,"76.05","5399.55"
"6851-WEFYX",35,"100.8","3528.0"
"2985-JUUBZ",40,"74.55","2982.00"
"6390-DSAZX",1,"73.6","73.6"
"0895-LMRSF",23,"64.9","1492.7"
"8098-LLAZX",4,"95.45","381.80"
"8266-VBFQL",4,"90.4","361.6"
"8181-YHCMF",68,"60.3","4100.4"
"2240-HSJQD",38,"81.85","3110.30"
"1248-DYXUB",52,"24.8","1289.6"
"0265-EDXBD",32,"74.9","2396.8"
"4115-BNPJY",29,"75.55","2190.95"
"3167-SNQPL",38,"101.15","3843.70"
"4091-TVOCN",48,"78.75","3780.00"
"1098-TDVUQ",1,"19.25","19.25"
"7277-OZCGZ",22,"89.05","1959.10"
"1557-EMYVT",43,"115.05","4947.15"
"2799-ARNLO",5,"69.35","346.75"
"7563-BIUPC",5,"80.6","403.0"
"5027-YOCXN",51,"110.05","5612.55"
"3973-SKMLN",71,"19.9","1412.9"
"2321-OMBXY",38,"80.3","3051.4"
"2840-XANRC",24,"93.15","2235.60"
"6745-JEFZB",35,"91.5","3202.5"
"5020-ZSTTY",54,"82.45","4452.30"
"9880-TDQAC",72,"60","4320"
"8705-WZCYL",1,"44.8","44.8"
"7102-JJVTX",9,"48.6","437.4"
"8626-PTQGE",69,"60.05","4143.45"
"4983-CLMLV",52,"102.7","5340.4"
"5701-YVSVF",11,"82.9","911.9"
"5804-LEPIM",2,"70.35","140.70"
"5697-GOMBF",28,"35.9","1005.2"
"2739-CACDQ",17,"82.65","1405.05"
"9385-EHGDO",35,"19.85","694.75"
"9498-FIMXL",8,"19.2","153.6"
"2379-GYFLQ",46,"94.9","4365.4"
"0122-OAHPZ",7,"73.85","516.95"
"2868-SNELZ",2,"80.6","161.2"
"4322-RCYMT",68,"75.8","5154.4"
"6680-NENYN",43,"104.6","4497.8"
"2088-IEBAU",68,"88.15","5994.20"
"7982-VCELR",36,"94.8","3412.8"
"1343-EHPYB",63,"103.4","6514.2"
"6035-BXTTY",32,"54.65","1748.80"
"6885-PKOAM",71,"85.75","6088.25"
"7520-HQWJU",66,"67.45","4451.70"
"9639-BUJXT",63,"20.5","1291.5"
"5924-SNGKP",41,"20.25","830.25"
"0021-IKXGC",1,"72.1","72.1"
"2034-GDRCN",2,"90.4","180.8"
"8966-SNIZF",70,"19.45","1361.50"
"6243-OZGFH",23,"44.95","1033.85"
"4654-DLAMQ",64,"97","6208"
"0513-RBGPE",37,"62.8","2323.6"
"5160-UXJED",17,"44.6","758.2"
"4115-NZRKS",7,"89.15","624.05"
"0219-YTZUE",4,"84.8","339.2"
"0623-IIHUG",21,"41.9","879.9"
"4572-DVCGN",10,"80.25","802.50"
"3351-NGXYI",16,"54.1","865.6"
"8984-EYLLL",64,"105.25","6736.00"
"9057-MSWCO",27,"30.75","830.25"
"9833-TGFHX",42,"97.1","4078.2"
"9294-TDIPC",5,"20.2","101.0"
"5229-DTFYB",41,"98.8","4050.8"
"0104-PPXDV",58,"50.3","2917.4"
"5176-LMJXE",47,"20.55","965.85"
"3583-KRKMD",18,"75.9","1366.2"
"1010-DIAUQ",5,"96.5","482.5"
"9069-LGEUL",23,"59.95","1378.85"
"7302-ZHMHP",1,"19.15","19.15"
"9571-EDEBV",71,"98.65","7004.15"
"3520-FJGCV",72,"112.6","8107.2"
"6563-VRERX",33,"20.6","679.8"
"0259-GBZSH",2,"85.65","171.30"
"6122-EFVKN",24,"35.75","858.00"
"2805-EDJPQ",56,"99.75","5586.00"
"6862-CQUMB",37,"96.1","3555.7"
"7156-MXBJE",43,"85.1","3659.3"
"6158-HDPXZ",1,"25.35","25.35"
"9601-BRXPO",25,"104.95","2623.75"
"2863-IMQDR",61,"89.65","5468.65"
"5686-CMAWK",17,"86.75","1474.75"
"5651-CRHKQ",41,"86.2","3534.2"
"6905-NIQIN",1,"50.65","50.65"
"8204-YJCLA",72,"64.8","4665.6"
"5167-ZFFMM",1,"90.85","90.85"
"6583-SZVGP",48,"108.1","5188.8"
"4895-TMWIR",11,"19.95","219.45"
"0533-BNWKF",55,"85.45","4699.75"
"1708-PBBOA",42,"54.75","2299.50"
"8782-LKFPK",44,"90.4","3977.6"
"5522-JBWMO",1,"44","44"
"3597-MVHJT",27,"95.6","2581.2"
"9774-NRNAU",27,"84.8","2289.6"
"0224-RLWWD",2,"44.3","88.6"
"9967-ATRFS",19,"19.9","378.1"
"3951-NJCVI",42,"95.05","3992.10"
"2977-CEBSX",66,"90.05","5943.30"
"0177-PXBAT",33,"109.9","3626.7"
"6599-CEBNN",34,"73.95","2514.30"
"2519-ERQOJ",33,"54.6","1801.8"
"5876-QMYLD",23,"20.05","461.15"
"2277-AXSDC",32,"19.75","632.00"
"9442-JTWDL",11,"20.05","220.55"
"0979-PHULV",69,"99.45","6862.05"
"3067-SVMTC",68,"55.9","3801.2"
"5495-GPSRW",20,"19.7","394.0"
"7606-BPHHN",72,"19.8","1425.6"
"4742-DRORA",60,"95.4","5724.0"
"0111-KLBQG",32,"93.95","3006.40"
"4800-VHZKI",1,"19.9","19.9"
"7989-CHGTL",1,"19.6","19.6"
"0334-GDDSO",3,"81.35","244.05"
"4163-NCJAK",46,"24.45","1124.70"
"5233-AOZUF",29,"74.95","2173.55"
"5973-EJGDP",51,"87.35","4454.85"
"1996-DBMUS",48,"70.65","3391.20"
"7916-VCCPB",16,"73.25","1172.00"
"4686-GEFRM",70,"98.7","6909.0"
"5249-QYHEX",40,"24.8","992.0"
"0578-SKVMF",22,"83.3","1832.6"
"5564-NEMQO",1,"75.3","75.3"
"2233-FAGXV",5,"24.3","121.5"
"5605-IYGFG",7,"69.85","488.95"
"7663-ZTEGJ",29,"100.55","2915.95"
"3935-TBRZZ",44,"25.7","1130.8"
"8111-BKVDS",10,"40.7","407.0"
"2055-SIFSS",55,"51.65","2840.75"
"2806-MLNTI",52,"105.1","5465.2"
"8734-DKSTZ",10,"85.95","859.50"
"4360-PNRQB",18,"75.6","1360.8"
"6152-ONASV",68,"58.25","3961.00"
"9063-ZGTUY",61,"19.4","1183.4"
"7781-HVGMK",72,"65.2","4694.4"
"2181-UAESM",2,"53.45","106.90"
"2957-LOLHO",12,"45.4","544.8"
"6048-NJXHX",41,"19.75","809.75"
"2320-SLKMB",26,"44.45","1155.70"
"4980-URKXC",36,"20.85","750.60"
"4376-KFVRS",72,"114.05","8211.60"
"5886-VLQVU",35,"89.85","3144.75"
"3577-AMVUX",1,"55.05","55.05"
"0771-WLCLA",16,"112.95","1807.20"
"5628-RKIFK",49,"101.55","4975.95"
"0206-TBWLC",54,"114.65","6191.10"
"2937-FTHUR",18,"64.8","1166.4"
"1910-FMXJM",36,"80.4","2894.4"
"7752-XUSCI",60,"105.9","6354.0"
"4110-PFEUZ",1,"69.55","69.55"
"0732-OCQOC",52,"25.05","1302.60"
"5168-MSWXT",8,"94.75","758.00"
"1090-ESELR",72,"105.5","7596.0"
"8592-PLTMQ",64,"24.7","1580.8"
"5760-WRAHC",22,"69.75","1534.50"
"8847-GEOOQ",60,"60.2","3612.0"
"0256-LTHVJ",28,"81.05","2269.40"
"4785-FCIFB",61,"24.4","1488.4"
"8313-NDOIA",24,"104.15","2499.60"
"5149-CUZUJ",28,"92.9","2601.2"
"0942-KOWSM",30,"80.8","2424.0"
"4237-CLSMM",2,"20","40"
"1452-VOQCH",1,"75.1","75.1"
"4719-UMSIY",6,"19.65","117.90"
"6614-VBEGU",24,"69.45","1666.80"
"0880-TKATG",4,"101.15","404.60"
"3811-VBYBZ",7,"99.8","698.6"
"1480-BKXGA",72,"116.05","8355.60"
"2996-XAUVF",70,"40.05","2803.50"
"9076-AXYIK",64,"102.1","6534.4"
"5968-XQIVE",72,"89.7","6458.4"
"8896-RAZCR",44,"19.9","875.6"
"4640-UHDOS",13,"55.95","727.35"
"4933-IKULF",17,"20.65","351.05"
"3583-EKAPL",1,"55","55"
"1304-BCCFO",9,"70.05","630.45"
"4104-PVRPS",24,"53.6","1286.4"
"9399-APLBT",1,"74.7","74.7"
"2359-KMGLI",24,"80.25","1926.00"
"3780-DDGSE",35,"76.05","2661.75"
"4431-EDMIQ",7,"75.7","529.9"
"0306-JAELE",5,"96.1","480.5"
"6227-HWPWX",15,"69","1035"
"0486-LGCCH",11,"19.65","216.15"
"0447-BEMNG",48,"45.3","2174.4"
"4612-SSVHJ",20,"81.45","1629.00"
"5168-MQQCA",72,"108.5","7812.0"
"5949-XIKAE",8,"83.55","668.40"
"7971-HLVXI",72,"84.5","6084.0"
"9094-AZPHK",15,"100.15","1502.25"
"3649-JPUGY",72,"88.6","6379.2"
"8372-JUXUI",1,"74.35","74.35"
"3552-CTCYF",63,"104.8","6602.4"
"6778-YSNIH",2,"59","118"
"0388-EOPEX",2,"74.4","148.8"
"5756-OZRIO",61,"64.05","3907.05"
"6579-JPICP",1,"20.4","20.4"
"8205-OTCHB",22,"43.75","962.50"
"4134-BSXLX",28,"60.9","1705.2"
"0505-SPOOW",70,"19.8","1386.0"
"6235-VDHOM",5,"28.45","142.25"
"7783-YKGDV",12,"99.7","1196.4"
"4374-YMUSQ",34,"116.25","3952.50"
"4513-CXYIX",71,"80.7","5729.7"
"3957-HHLMR",70,"65.2","4564.0"
"7803-XOCCZ",52,"84.05","4370.60"
"5736-YEJAX",69,"79.45","5482.05"
"5609-CEBID",20,"94.1","1882.0"
"8981-FJGLA",11,"78","858"
"7218-HKQFK",2,"94.2","188.4"
"4636-QRJKY",6,"80.5","483.0"
"1135-LMECX",1,"19.85","19.85"
"4332-MUOEZ",20,"94.3","1886.0"
"8535-SFUTN",61,"106.45","6493.45"
"5956-VKDTT",5,"74.35","371.75"
"8677-HDZEE",56,"105.45","5905.20"
"2475-MROZF",30,"95","2850"
"9412-GHEEC",40,"104.8","4192.0"
"3482-ABPKK",28,"54.3","1520.4"
"6705-LXORM",5,"70.05","350.25"
"0257-ZESQC",27,"75.2","2030.4"
"7531-GQHME",12,"20.05","240.60"
"5174-ITUMV",67,"105.4","7061.8"
"4109-CYRBD",29,"51.6","1496.4"
"0913-XWSCN",55,"85.5","4702.5"
"6825-UYPFK",23,"75.6","1738.8"
"8397-MVTAZ",34,"100.05","3401.70"
"0750-EBAIU",52,"91.25","4745.00"
"8606-CIQUL",72,"115.75","8334.00"
"3571-DPYUH",58,"94.7","5492.6"
"7601-GNDYK",35,"19.6","686.0"
"0356-OBMAC",56,"99.9","5594.4"
"8067-NIOYM",24,"21.1","506.4"
"3106-ULWFW",8,"85.2","681.6"
"1403-GYAFU",70,"20.05","1403.50"
"4234-XTNEA",2,"79.95","159.90"
"1297-VQDRP",68,"107.15","7286.20"
"9282-IZGQK",1,"85","85"
"5348-CAGXB",12,"89.55","1074.60"
"0621-HJWXJ",63,"81.55","5137.65"
"5844-QVTAT",33,"58.45","1928.85"
"8905-IAZPF",69,"95.65","6599.85"
"5394-MEITZ",60,"80.6","4836.0"
"6859-QNXIQ",72,"113.1","8143.2"
"2782-LFZVW",11,"58.95","648.45"
"2866-IKBTM",1,"19.55","19.55"
"1342-JPNKI",10,"86.05","860.50"
"2817-NTQDO",13,"45.55","592.15"
"7129-AZJDE",34,"78.95","2684.30"
"6986-IJDHX",39,"86.3","3365.7"
"2560-PPCHE",65,"105.05","6828.25"
"4676-MQUEA",50,"101.9","5095.0"
"8138-EALND",15,"19.75","296.25"
"3580-HYCSP",72,"110.3","7941.6"
"1352-HNSAW",72,"115.6","8323.2"
"2075-PUEPR",55,"19.35","1064.25"
"1982-FEBTD",23,"25.6","588.8"
"5301-GAUUY",32,"80.35","2571.20"
"5791-KAJFD",56,"68.75","3850.00"
"2654-VBVPB",1,"19.9","19.9"
"1154-HYWWO",38,"70.6","2682.8"
"2501-XWWTZ",11,"70.2","772.2"
"3716-UVSPD",1,"49.3","49.3"
"6815-ABQFQ",56,"107.25","6006.00"
"7343-EOBEU",3,"23.6","70.8"
"3701-SFMUH",7,"69.7","487.9"
"6103-LIANB",59,"99.5","5870.5"
"7319-VENRZ",7,"64.3","450.1"
"5846-NEQVZ",71,"70.85","5030.35"
"6967-QIQRV",15,"101.9","1528.5"
"5781-RFZRP",71,"73.5","5218.5"
"0939-YAPAF",35,"100.25","3508.75"
"0308-IVGOK",11,"40.4","444.4"
"7293-LSCDV",60,"19.25","1155.00"
"7025-WCBNE",47,"59.6","2801.2"
"5756-JYOJT",11,"64.9","713.9"
"4710-FDUIZ",56,"100.3","5616.8"
"6030-REHUX",28,"110.85","3103.80"
"9548-LIGTA",61,"81.05","4944.05"
"5150-LJNSR",31,"98.05","3039.55"
"8270-RKSAP",9,"70.5","634.5"
"6522-YRBXD",35,"94.55","3309.25"
"0925-VYDLG",3,"75.25","225.75"
"2640-LYMOV",2,"19.65","39.30"
"1218-VKFPE",12,"19","228"
"3627-FHKBK",1,"75.3","75.3"
"2865-TCHJW",4,"89.2","356.8"
"1423-BMPBQ",1,"19","19"
"2393-DIVAI",3,"20","60"
"5192-EBGOV",1,"85.7","85.7"
"4568-KNYWR",52,"63.25","3289.00"
"8752-IMQOS",5,"20.1","100.5"
"0742-LAFQK",72,"99.15","7138.80"
"0795-LAFGP",71,"90.4","6418.4"
"0619-OLYUR",72,"111.9","8056.8"
"5512-IDZEI",46,"24.9","1145.4"
"0459-SPZHJ",63,"83.5","5260.5"
"0215-BQKGS",30,"84.3","2529.0"
"9244-ZVAPM",1,"45.6","45.6"
"0719-SYFRB",12,"61.65","739.80"
"8208-EUMTE",16,"54.85","877.60"
"5172-MIGPM",4,"65.55","262.20"
"1710-RCXUS",51,"90.35","4607.85"
"0374-FIUCA",65,"20.4","1326.0"
"5839-SUYVZ",16,"74.55","1192.80"
"5173-ZXXXL",2,"19.95","39.90"
"1096-ADRUX",66,"74.25","4900.50"
"2001-MCUUW",46,"108.65","4997.90"
"2731-GJRDG",32,"109.55","3505.60"
"4723-BEGSG",72,"86.65","6238.80"
"6516-NKQBO",38,"81","3078"
"8672-OAUPW",51,"47.85","2440.35"
"8207-DMRVL",72,"114.55","8247.60"
"3419-SNJJD",65,"105.25","6841.25"
"6543-CPZMK",9,"29.95","269.55"
"4765-OXPPD",9,"65","585"
"2804-ETQDK",66,"20.55","1356.30"
"6689-VRRTK",44,"109.8","4831.2"
"7138-GIRSH",50,"69.5","3475.0"
"9396-ZSFLL",15,"48.85","732.75"
"6464-KEXXH",8,"25.25","202.00"
"7134-MJPDY",66,"102.85","6788.10"
"5240-CAOYT",57,"87.55","4990.35"
"4059-IIEBK",7,"78.55","549.85"
